Title,Author,Barcode,"Item number (internal)","Permanent library","Shelving location","Call number","Not for loan","Lost status","Damaged status","Withdrawn status","Inventory number"
"Meditación del exilio","Raffo, Julio C.",6729,2586,3326,CG,"864 RAF",,,0,0,
"La aventura de la Pampa Argentina","Ramos, Jorge",1633,566,3326,SALA,"864 RAM",,,0,0,
"La aventura de la pampa Argentina","Ramos, Jorge",329,573,3326,SALA,"864 RAM",,,0,0,
"Las multitudes argentinas","Ramos Mejía, José María",2382,2192,3326,CG,"864 RAM",,,0,0,
"Transculturación narrativa en América Latina","Rama, Angel",7873,3796,3326,CG,"864 RAM",,,0,0,
"Cronicón de las peñas de Buenos Aires","Requeni, Antonio",1519,555,3326,SALA,"864 REQ",,,0,0,
"Arte, estructura y arqueologia","Rex Gonzalez, Alberto",8971,4552,3326,,"864 REX",,,0,0,
"Apunta de pistola","Rieff, David",8359,4617,3326,,"864 RIE",,,0,0,
"Prosa Completa","Rimbaud, Arthur",11511,4553,3326,,"864 RIM",,,0,0,
"Motivos de proteo","Rodo, Jose Enrique",550,4528,3326,,"864 ROD",,,0,0,
"La corrupción siempre es perversa","Rojo Vivot, Alejandro",8348,4524,3326,,"864 ROJ",,,0,0,
"El drama de la democracia argentina","Romero, José Luis",5137,2503,3326,CG,"864 ROM",,,0,0,
"La vida histórica","Romero, José Luis",1895,563,3326,SALA,"864 ROM",,,0,0,
"La mascara de América","Rossi, Juan José",7894,3817,3326,CG,"864 ROS",,,0,0,
"Ensayos en campera","Sabato, Jorge A.",1602,557,3326,SALA,"864 SAB",,,0,0,
"Hombres y engranajes","Sabato, Ernesto",5576,570,3326,SALA,"864 SAB",,,0,0,
"Las brasas aún arden","Sabsay, Fernando",9778,4883,3326,,"864 SAB",,,0,0,
"Obra completa","Sabato, Ernesto",3632,556,3326,SALA,"864 SAB",,,0,0,
"Alfonsina Storni","Salomone, Alicia",9734,4691,3326,,"864 SAL",,,0,0,
"Introducción a la teoría del Estado y otros ensayos","Sampay, Arturo Enrique",2386,2149,3326,CG,"864 SAM",,,0,0,
"La pasión y la excepción","Sarlo, Beatriz",6903,2799,3326,CG,"864 SAR",,,0,0,
"Ética para Amador","Savater, Fernando",4871,1764,3326,SALA,"864 SAV",,,0,0,
"Ética para Amador","Savater, Fernando",7296,3220,3326,CG,"864 SAV",,,0,0,
Oliverio,"Schwartz, Jorge",11525,4692,3326,Ensayos,"864 SCH",,,0,0,
"Breve historia del sindicalismo argentino","Senen González, Santiago",8714,4693,3326,Ensayos,"864 SEN",,,0,0,
"Conozca la religión","Sheen , Fulton J.",3212,561,3326,SALA,"864 SHE",,,0,0,
"Experiencia y otros ensayos","Sin, Lu",438,553,3326,SALA,"864 SIN",,,0,0,
"Juego de niños ","Stevenson, Robert",4262,4885,3326,,"864 STE",,,0,0,
"La formación de la inteligencia Argentina y otras páginas de reflexión","Terán, Juan B.",2373,2155,3326,CG,"864 TER",,,0,0,
"Héctor Tizón ","Da Costa, Ana",7856,3779,3326,CG,"864 TIZ",,,0,0,
"El hombre desplazado","Todorov, Tzvetan",8898,4696,3326,Ensayos,"864 TOD",,,0,0,
"La conquista de Ámerica","Todorov, Tzvetan",8296,4623,3326,Ensayos,"864 TOD",,,0,0,
"Lenguaje y estilo","Ullmann, Stephen",459,2686,3326,CG,"864 ULL",,,0,0,
"Soliloquios y conversaciones","Unamuno, Miguel de",6722,2579,3326,CG,"864 UNA",,,0,0,
"Obra periodística","Urondo, Francisco",10978,5572,3326,Ensayos,"864 URO",,,0,0,
"La educacion de los que influyen","Vázquez, Luciana",11146,4697,3326,Ensayos,"864 VAZ",,,0,0,
"La última batalla de la tercera guerra Mundial","Verbitsky, Horacio",11180,5573,3326,Ensayos,"864 VER",,,0,0,
"Un mundo sin periodistas","Verbitsky, Horacio",6826,2722,3326,CG,"864 VER",,,0,0,
"Indios, ejército y frontera","Viñas , David",7541,3465,3326,CG,"864 VI",,,0,0,
"Travesia de una escritura","Villanueva, Graciana",01744,4622,3326,Ensayos,"864 VILL",,,0,0,
"Anarquistas en América Latina","Viñas, David",8921,4879,3326,,"864 VIÑ",,,0,0,
"Cine-literatura ","Wolf, Sergio",7914,3837,3326,CG,"864 WOL",,,0,0,
"La gran inmigración","Wolf, Ema",6470,2147,3326,CG,"864 WOL",,,0,0,
"Un cuarto propio","Woolf, Virginia",3682,575,3326,SALA,"864 WOO",,,0,0,
"El arte y sus interrogantes","Worringer, Wilhelm",3994,550,3326,sala,"864 WOR",,,0,0,
"Epistolario espiritual","Avila, Juan de",5521,5299,3326,"Literatura clásica","866 AVI",,,0,0,
"Cartas marruecas","Cadalso, José de",5522,5428,3326,"Literatura clásica","866 CAD",,,0,0,
"Yo tambien fui un espermatozoide ","Dalmiro Saenz",11950,5440,3326,Historieta,"867 DAL",,,0,0,
"Crónicas del Angel Gris","Dolina, Alejandro",10399,5500,3326,Ensayos,"867 DOL",,,0,0,
"Crónicas el Ángel Gris","Dolina, Alejandro",10077,4137,3326,Ensayos,"867 DOL",,,0,0,
"Inodoro Pereyra 30","Fontanarrosa, Roberto",7189,3113,3326,CG,"867 FON",,,0,0,
"Diez años con Mafalda",Quino,7173,3097,3326,CG,"867 QUI",,,0,0,
"La pequeña filosofía de mafalda",Quino,11308,4372,3326,,"867 QUI",,,0,0,
"Cronicones alegres de Córdoba","Capdevila, Arturo",3997,5444,3326,Novelas,"868 CAP",,,0,0,
"Historia de los genes","Gallardo, Susana",11941,5529,3326,,"876.5 GAL",,,0,0,
"La Odisea",Homero,7114,3038,3326,CG,"881 HOM",,,0,0,
"Cuenta el pueblo mapuche vol II","Koessler-Ilg, Bertha",8745,4690,3326,"Pueblos Originarios","898 KOE",,,0,0,
"Diseño precolombino","Sondereguer, César",4808,2937,3326,CG,"904.9 SON",,,0,0,
"Historia y sentido","Adamovsky, Ezequiel",6601,2330,3326,CG,"907.2 ADA",,,0,0,
"Historia contemporánea","Acuña , Patricia",7771,3694,3326,CG,"907 ACU",,,0,0,
"Sarmiento, hacedor de la educación popular","Bravo, Felix Héctor",0657,5077,3326,Biografías,"907 SAR",,,0,0,
"El mundo maya","Adamson, David",11614,5016,3326,Historia,"909 ADA",,,0,0,
Historia,"Alonso, María Ernestina",7161,3085,3326,CG,"909 ALO",,,0,0,
Historia,"Alonso, María Ernestina",7162,3086,3326,CG,"909 ALO",,,0,0,
"Panorama de historia universal","Reither, Joseph",4181,786,3326,SALA,"909 REI",,,0,0,
"Del Orinoco al Amazonas","Humboldt, Alejandro de",8308,5049,3326,Biografías,910.4,,,0,0,
"El mundo que yo vi","Bullrich, Silvina",5773,109,3326,,910.41,,,0,0,
"El país de los sudacas","Baudi, Roberto",7485,3409,3326,CG,"910.4 BAU",,,0,0,
"La piel de La Boca","Carrión, Jorge",8964,4919,3326,,"910.4 CAR",,,0,0,
"huellas de fuego","Gargiulo,Federico",10705,4167,3326,Referencia,"910.4 GAR",,,0,0,
"La Patagonia austral","Lista, Ramón",7693,3616,3326,CG,"910.4 LIS",,,0,0,
"Viaje al país de los tehuelches","Lista, Ramón",7689,3612,3326,CG,"910.4 LIS",,,0,0,
"Vida entre los patagones","Musters, George Chaworth",7695,3618,3326,CG,"910.4 MUS",,,0,0,
,"Otto, NordenskjÖld",10706,4168,3326,Referencia,"910.4 OTT",,,0,0,
"Corredor de los lagos andino patagónicos",,7127,3051,3326,CG,"910(82) COR",,,0,0,
"Fisonomía regional de la Argentina","Daus, Federico",6833,2729,3326,CG,"910.82 DAU",,,0,0,
"Bajo del gualicho ","Masera, Ricardo Freddy",6768,2642,3326,CG,"910(82) MAS",,,0,0,
"Atlas enciclopédico del mundo",,7374,3298,3326,CG,"910 ATL",,,0,0,
"Monumentos históricos de la República Argentina",,5864,776,3326,SALA,"910 COM",,,0,0,
"Los caballos de la conquista","Cunninghame Graham, Robert B.",6420,2093,3326,CG,"910 CUN",,,0,0,
"Estructura regionales y sistemas productivos","Rofman, Alejandro",7159,3083,3326,CG,"910 ROF",,,0,0,
"Estructuras regionales y sistemas productivos","Rofman, Alejandro B.",7442,3366,3326,CG,"910 ROF",,,0,0,
"Todos los mapas de la República Argentina",,7649,3573,3326,CG,"910 TOD",,,0,0,
"Atlas histórico de la Argentina","Zaida Lobato, Mirta",7347,3271,3326,CG,"911 ZAI",,,0,0,
"Atlas de la Prehistoria","Wood, Robert Muir",2358,1318,3326,SALA,"912 WOO",,,0,0,
"El fantástico Marco Polo","Buongiorno, Teresa",4069,129,3326,,"913 BUO",,,0,0,
"Geografía Argentina y del Mercosur","Blanco, J.",7101,3025,3326,CG,"918 BLA",,,0,0,
"Geografía Argentina y del Mercosur","Blanco, J.",7102,3026,3326,CG,"918 BLA",,,0,0,
"Naufragio en las costas patagónicas","Byron, John",6471,2148,3326,,"918 BYR",,,0,0,
"Al costado del camino",,11628,4985,3326,Ensayos,"918 DUS",,,0,0,
"Las mesetas patagónicas que caen al mar","Masera, Freddy",7249,3173,3326,CG,"918 MAS",,,0,0,
"Secretos de familia","Cabal, Graciela Beatriz",6919,2815,3326,Biografías,"920 CAB",,,0,0,
"Diario del estafeta Hugo Acuña",,6316,1952,3326,CG,"920 DIA",,,0,0,
Dostoyevski,"Kjetsaa, Geir",7448,3372,3326,CG,"920 DOS",,,0,0,
"Historia de mi madre","Gorodischer, Angélica",7500,3424,3326,,"920 GOR",,,0,0,
"Una vida","Veil, Simone",11911,5193,3326,,"920 VEI",,,0,0,
"El pintor de la Suiza argentina","Buch, Esteban",7630,3554,3326,Biografías,"927 BUC",,,0,0,
"Pampas, araucanos y ranqueles","Del Gesso, Ernesto",7692,3615,3326,CG,"930.1 DEL",,,0,0,
"El mundo griego","Martino, Adriana Beatriz",6313,1950,3326,CG,"938 MAR",,,0,0,
"La Edad Media","Romero , José Luis",5490,788,3326,SALA,"940.1 ROM",,,0,0,
"Fontanarrosa y la inseguridad","Fontanarrosa, Roberto",7079,3003,3326,CG,"967 FON",,,0,0,
Aztecas,,5789,13,3326,SALA,"972.018 AZT",,,0,0,
"Lo que nos susurra el viento ",Xokonoschtletl,6394,2067,3326,CG,"972.018 XOK",,,0,0,
"El viaje a Nicaragua e intermezzo tropical","Darío, Rubén",9736,5496,3326,Historia,"972.85 DAR",,,0,0,
"El pequeño ejército loco II","Selser, Gregorio",506,2665,3326,CG,"972.85 SEL",,,0,0,
"Fidel Castro","Castro, Fidel",5337,2664,3326,CG,"972.910 CAS",,,0,0,
"Biografía del Caribe","Arciniegas, Germán",6869,2765,3326,CG,"972.9 ARC",,,0,0,
"El enigma de las pirámides","Alvarez López, José",6093,1566,3326,SALA,"980 ALV",,,0,0,
"Historia precolombina y colonial americana hasta la creación del virreinato del río de la plata","Chomnalez, Patricia",2903,2936,3326,CG,"980 CHO",,,0,0,
"Ámerica en Revolución","Chumbita, Hugo",9807,4134,3326,,"980 CHU",,,0,0,
"José Carlos Mariate","Sicilia, Luis",11940,5810,3326,Historia,"980 GUT",,,0,0,
"Militares contra Pinochet","Gutiérrez, Carlos",12086,5809,3326,Historia,"980 GUT",,,0,0,
"Así empezó nuestra historia",,2229,799,3326,SALA,"982.01 ASI",,,0,0,
Diaguitas,,5790,14,3326,SALA,"982.01 DIA",,,0,0,
Guaraníes,,5788,12,3326,SALA,"982.01 GUA",,,0,0,
Mapuches,,5787,11,3326,SALA,"982.01 MAP",,,0,0,
"Llegaron los españoles",,2230,800,3326,SALA,"982.02 LLE",,,0,0,
"Cuando fuimos Virreinato","Bertoni, Lilia Ana",2231,793,3326,SALA,"982.03 BER",,,0,0,
"JuanManuel De Rosas. Su vida. Su drama. Su tiempo","Ibarguren, Carlos",1611,5068,3326,Biografías,"982.04 IBA",,,0,0,
"¿Qué pasó el 25 de mayo?",,2232,801,3326,SALA,"982.04 QUE",,,0,0,
"Los tiempos de San Martín",,2233,802,3326,SALA,"982.04 TIE",,,0,0,
"Los tiempos de Rivadavia",,2234,803,3326,SALA,"982.052 TIE",,,0,0,
"Los tiempos de Rosas",,2235,798,3326,SALA,"982.055 TIE",,,0,0,
"La Argentina se organiza",,2236,804,3326,SALA,"982.056 ARG",,,0,0,
"Documentos de historia Argentina 1870-1955","Caraballo, Liliana",5503,778,3326,SALA,"982.05 CAR",,,0,0,
"Historia social de la Argentina contemporánea","Di Tella, Torcuato S.",5607,752,3326,SALA,"982.05 DIT",,,0,0,
"Obras completas","Perón, Juan Domingo",6583,2300,3326,CG,"982.062 PER",,,0,0,
"Obras completas","Perón , Juan Domingo",6589,2306,3326,CG,"982.062 PER",,,0,0,
"Obras completas","Perón , Juan Domingo",6592,2315,3326,CG,"982.062 PER",,,0,0,
"Documentos de historia Argentina 1955-1976","Caraballo, Liliana",5494,779,3326,SALA,"982.063 CAR",,,0,0,
"La dictadura (1976-1983)","Caraballo, Liliana",5504,780,3326,SALA,"982.064 CAR",,,0,0,
"El golpe y los chicos","Montes, Graciela",5805,29,3326,SALA,"982.064 MON",,,0,0,
"Los tiempos de Yrigoyen","Bertoni, Lilia Ana",2238,796,3326,SALA,"982.06 BER",,,0,0,
"Los tiempos de los inmigrantes",,2237,797,3326,SALA,"982.06 TIE",,,0,0,
"Entre dictaduras y democracias","Bertoni, Lilia Ana",2240,794,3326,SALA,"982.07 BER",,,0,0,
"Los tiempos de Perón","Bertoni, Lilia Ana",2239,795,3326,SALA,"982.07 BER",,,0,0,
"Santa Lucía de Tucumán","Mercado, Lucía",7521,3445,3326,CG,"982.43 MER",,,0,0,
"Barridos por el viento","Hosne, Roberto",5585,4962,3326,,"982.702 HOS",,,0,0,
"Horizontes en perspectiva","Ruffini, Martha",7605,3529,3326,CG,"982.73 RUF",,,0,0,
Reminiscencias,"Moreno, Francisco P.",2462,2274,3326,CG,"982.7 MOR",,,0,0,
"La Patagonia es así","Spinelli, Sara",01728,5514,3326,,"982.7 SPI",,,0,0,
"Nueva historia de la Nación Argentina",,6493,2177,3326,CG,"982.O1 ACA",,,0,0,
"Nueva historia de la Nación Argentina",,6495,2179,3326,CG,"982.O23 ACA",,,0,0,
"Nueva historia de la Nación Argentina",,6494,2178,3326,CG,"982.O2 ACA",,,0,0,
"Nueva historia de la Nación Argentina",,6496,2180,3326,CG,"982.O6 ACA",,,0,0,
"Los Mapuches","Lobos, Omar",8597,4998,3326,,"982 004 LOB",,,0,0,
"Nueva historia de la Nación Argentina",,6692,2474,3326,CG,"982 ACA",,,0,0,
"Nueva historia de la Nación Argentina",,6693,2475,3326,CG,"982 ACA",,,0,0,
"Nueva historia de la nación Argentina",,7124,3048,3326,CG,"982 ACA",,,0,0,
"Nueva historia de la nación Argentina T. IX",,7123,3047,3326,CG,"982 ACA",,,0,0,
Historia,"Alonso, María Ernestina",7157,3081,3326,CG,"982 ALO",,,0,0,
Historia,"Alonso, María Ernestina",7158,3082,3326,CG,"982 ALO",,,0,0,
Historia,"Alonso, María Ernestina",7160,3084,3326,CG,"982 ALO",,,0,0,
"Historia ","Alonso, M.E.",7440,3364,3326,CG,"982 ALO",,,0,0,
"Historia la Argentina contemporánea (1852-1999)","Alonso, M.E.",7441,3365,3326,CG,"982 ALO",,,0,0,
"Cronología (1418-1983)","Bertoni, Lilia Ana",2228,805,3326,SALA,"982 ARG",,,0,0,
"Arte mapuche",,6956,2852,3326,CG,"982 ART",,,0,0,
"Historias de letras, palabras y frases","Balmaceda, Daniel",10500,4210,3326,,"982 BAL",,,0,0,
"Romances argentinos de escritores turbulentos","Balmaceda, Daniel",10497,4160,3326,,"982 BAL",,,0,0,
"Historia de la patagonia","Bandieri, Susana",8498,4723,3326,,"982 BAN",,,0,0,
"Patriotas, cosmopólitas y nacionalistas","Bertoni, Lilia Ana",6044,1516,3326,SALA,"982 BER",,,0,0,
"Apuntes históricos del Río Negro","Biedma, José Juan",2410,2398,3326,CG,"982 BIE",,,0,0,
"Crónica histórica del lago Nahuel Huapi","Biedma, Juan Martín",6548,2246,3326,CG,"982 BIE",,,0,0,
"Historia elemental de los argentinos","Bortnik, Rubén",8705,6070,3326,Historia,"982 BOR",,,0,0,
"Los selk'nam (onas)","Borrero, Luis Alberto",6328,1976,3326,CG,"982 BOR",,,0,0,
"Generales y embajadores","Bosoer, Fabián",12285,6055,3326,Historia,"982 BOS",,,0,0,
"Alla en la Patagonia","Brunswig de Bamberg, María",5819,43,3326,SALA,"982 BRU",,,0,0,
"Estudio de la toponimía indígena de la provincia de Río Negro","Casamiquela, Rodolfo Magin",7274,3198,3326,CG,"982 CAS",,,0,0,
"Martín Güemes","Colmenares, Luis Oscar",6615,2350,3326,CG,"982 COL",,,0,0,
"El lazarillo de ciegos caminantes",Concolorcorvo,6038,1510,3326,SALA,"982 CON",,,0,0,
"Las culturas indígenas",,6942,2838,3326,CG,"982 CUL",,,0,0,
"Las matanzas del Neuquén",Curruhuinca-Roux,6799,2695,3326,CG,"982 CUR",,,0,0,
Sayhueque,Curruhuinca-Roux,6771,2645,3326,CG,"982 CUR",,,0,0,
"El país del primer centenario","Devoto Fernando",11928,5214,3326,,"982 DEV",,,0,0,
"Mapuche 3","Erize, Esteban",2363,2934,3326,CG,"982 ERI",,,0,0,
"Mapuche 6","Erize, Estebán",5441,2935,3326,CG,"982 ERI",,,0,0,
"Descripción de la Patagonia","Falkner, Tomás",6858,2754,3326,CG,"982 FAL",,,0,0,
"Historia de los argentinos I","Floria, Carlos Alberto",1830,789,3326,SALA,"982 FLO",,,0,0,
"Historia de los argentinos I","Floria, Carlos Alberto",134,790,3326,SALA,"982 FLO",,,0,0,
"Historia de los argentinos II","Floria, Carlos Alberto",135,791,3326,SALA,"982 FLO",,,0,0,
"Los jesuitas y la cultura rioplatense","Furlong, Guillermo",2379,2280,3326,CG,"982 FUR",,,0,0,
"La ciudad indiana","García , Juan Agustin",2450,2312,3326,CG,"982 GAR",,,0,0,
"Historias de inmigración ","Gálvez, Lucía",6676,2451,3326,CG,"982 GL",,,0,0,
"Las mujeres y la patria","Gálvez, Lucía",5893,1140,3326,SALA,"982 GL",,,0,0,
"Enigmas sobre las primeras banderas argentinas","Golman, Adolfo Mario",7754,3677,3326,CG,"982 GOL",,,0,0,
"Civilidad y política en los orígenes de la nación Argentina","González Bernaldo de Quirós, Pilar",6603,2332,3326,CG,"982 GON",,,0,0,
"Buenos Aires","Guralnik, Gabriel",7927,3850,3326,CG,"982 GUR",,,0,0,
"Hábitat e inmigración","Gutiérrez, Ramón",6766,2640,3326,CG,"982 GUT",,,0,0,
"El enigma Belgrano","Halperin Donghi, Tulio",10454,4297,3326,,"982 HAL",,,0,0,
"La Argentina y la tormenta del mundo","Hasperin Donghi, Tulio",6892,2788,3326,CG,"982 HAS",,,0,0,
"La burguesía terrateniente","Hora, Roy",12149,5862,3326,Historia,"982 HOR",,,0,0,
"Evolución de las ideas argentinas","Ingenieros, José",2444,2269,3326,CG,"982 ING",,,0,0,
"La provincia oriental",,6626,2373,3326,CG,"982 INS",,,0,0,
Polémicas,"Jauretche, Arturo",7897,3820,3326,CG,"982 JAU",,,0,0,
"Relatos II","Cheever, John",7896,3819,3326,CG,"982 JAU",,,0,0,
"El primer Perón",,11916,5206,3326,,"982 LOP",,,0,0,
"Evocaciones históricas","López, Vicente Fidel",2200,2266,3326,CG,"982 LP",,,0,0,
"Buenos Aires y el país","Luna, Félix",6567,2284,3326,CG,"982 LUN",,,0,0,
"Libertad, muera el tirano",,7876,3799,3326,CG,"982 MAD",,,0,0,
"Los primeros modernos","Malosetti Costa, Laura",6604,2333,3326,CG,"982 MAL",,,0,0,
"Los pueblos originarios de la Argentina","Mandrini, Raúl J.",7539,3463,3326,CG,"982 MAN",,,0,0,
"Mapuches del Neuquén",,6898,2794,3326,CG,"982 MAP",,,0,0,
"Nuestros paisanos los indios","Martínez Sarasola, Carlos",6961,2857,3326,CG,"982 MAR",,,0,0,
"La Meseta Patagónica de El Cuy","Masera , Ricardo Freddy",6104,1577,3326,SALA,"982 MAS",,,0,0,
"Probado en combate","Matassi, Pio",6623,2358,3326,CG,"982 MAT",,,0,0,
"El gallo negro","Mercado, Lucía",7522,3446,3326,CG,"982 MER",,,0,0,
"El ingenio Santa Lucía de Tucumán","Mercado, Lucía",7520,3444,3326,CG,"982 MER",,,0,0,
Bariloche,"Méndez , Laura",6987,2883,3326,CG,"982 MN",,,0,0,
"Páginas científicas y literarias","Muñiz, Francisco J.",2399,2188,3326,CG,"982 MU",,,0,0,
"La dictadura militar (1976-1983)","Novaro, Marcos",6581,2298,3326,CG,"982 NOV",,,0,0,
"La Gran Epopeya","O`Donnell, Pacho",9851,4135,3326,,"982 ODO",,,0,0,
"La formación del estado argentino","Oszlak, Oscar",7075,2999,3326,CG,"982 OSZ",,,0,0,
"Adalberto T. Pagano, una pasión rionegrina","Pagano, Olga H.",6927,2823,3326,CG,"982 PAG",,,0,0,
"Lo pasado pensado","Pigna, Felipe",7377,3301,3326,CG,"982 PIG",,,0,0,
"Los mitos de la historia Argentina","Pigna, Felipe",6991,2888,3326,CG,"982 PIG",,,0,0,
"Los mitos de la historia Argentina","Pigna, Felipe",7122,3046,3326,CG,"982 PIG",,,0,0,
"Los mitos de la historia Argentina 2","Pigna, Felipe",7099,3023,3326,CG,"982 PIG",,,0,0,
"Los mitos de la historia Argentina 2","Pigna, Felipe",7533,3457,3326,CG,"982 PIG",,,0,0,
"Nostalgias de Malvinas","Plager, Silvia",6033,1505,3326,SALA,"982 PLA",,,0,0,
"Pueblo y oligarquía","Puiggrós, Rodolfo",7200,3124,3326,CG,"982 PUI",,,0,0,
"Entre dos mundos, historia de un...","Radó, María",7928,3851,3326,CG,"982 RAD",,,0,0,
"Historia Argentina fundamental","Ramallo, Jorge María",360,759,3326,SALA,"982 RAM",,,0,0,
"Historia Argentina fundamental","Ramallo, Jorge María",1511,760,3326,SALA,"982 RAM",,,0,0,
"Historia Argentina fundamental","Ramallo, Jorge María",80,761,3326,SALA,"982 RAM",,,0,0,
"La Patagonia que canta","Rhys, William Casnodyn",5892,1139,3326,SALA,"982 RHY",,,0,0,
"Breve historia de la Argentina","Romero, José Luis",6629,2376,3326,CG,"982 ROM",,,0,0,
"La crisis Argentina ","Romero, Luis Alberto",6891,2787,3326,CG,"982 ROM",,,0,0,
"Las ideas políticas en Argentina","Romero, José Luis",5496,787,3326,SALA,"982 ROM",,,0,0,
"El problema del Beagle","Rosa, José Maria",6754,2619,3326,CG,"982 ROS",,,0,0,
"La batalla de las ideas","Sarlo, Beatriz",12288,6088,3326,Historia,"982 SAR",,,0,0,
"El indio del desierto","Schoo Lastra, Dionisio",2445,2154,3326,CG,"982 SCH",,,0,0,
"La Argentina ","Sáenz Quesada, María",6828,2724,3326,CG,"982 SE",,,0,0,
"La aurora de la independencia","Segreti, Carlos S.A.",6113,1585,3326,SALA,"982 SEG",,,0,0,
"Argentina en el siglo XX","Spagat, Ruth",6939,2835,3326,CG,"982 SPA",,,0,0,
"Fotos tuyas","Ulanovsky, Inés",7400,3324,3326,CG,"982 ULA",,,0,0,
"Bariloche, mi pueblo","Vallmitjana, Ricardo",6227,1813,3326,SALA,"982 VAL",,,0,0,
"Pedagogía de la desmemoria","Valko, Marcelo",11106,4986,3326,,"982 VAL",,,0,0,
"Historia de la unidad nacional","Vedia y Mitre, Mariano de",2390,2140,3326,CG,"982 VED",,,0,0,
"Hacer la corte","Verbitsky, Horacio",6739,2603,3326,CG,"982 VER",,,0,0,
"Guaraníes y jesuitas","Gálvez, Lucía",6414,2087,3326,CG,"983 GL",,,0,0,
"La guerra del Paraguay","Pomer, León",9810,4141,3326,,"989.205 POM",,,0,0,
"Historia de la conquista del Paraguay, Río de la Plata y el Tucumán","Lozano, Pedro",2404,2265,3326,CG,"989.2 LOZ",,,0,0,
"Desde el frente de batalla","Seeber, Francisco",6540,2238,3326,CG,"989.2 SEE",,,0,0,
"Malvinas, capítulo final (III)","Bosoer, Fabian ",11926,5216,3326,,"997.110 24 BOS",,,0,0,
" Un cielo sobre la cabeza basta","Calvo, Laura",10051,3909,3326,,A,,,0,0,
"Vueltas de búho","Fazio, Silvina",10049,3908,3326,,A,,,0,0,
"La casa del crimen","Barberis, Alicia",10772,5101,3326,"Sector infantil","A663 BAR",,,0,0,
"Obras completas ","Lange, Norah",7452,3376,3326,CG,"A860 LAN",,,0,0,
"Palabra viva ",,7545,3469,3326,CG,"A860 PAL",,,0,0,
"Payadas de vida","Pérez Cedrón, Roberto Julian",11715,5144,3326,,"A860 PER",,,0,0,
Circular,"Navarro, Eliana",11965,5492,3326,,A861,,,0,0,
"Lo que me dejó el amor","Gatti, Silvia",12211,5946,3326,Poesía,A861,,,0,0,
"Triple frontera Dreams","Diegues, Douglas",11354,4332,3326,,A861,,,0,0,
"Registros de hora prima","Artola, Raúl",11744,5138,3326,Poesía,A861ART,,,0,0,
"Todos los rostros","Soria, Fabiola",11711,5139,3326,Poesía,A861SOR,,,0,0,
Esteparias,"Alegret, Jorge Carlos",11771,5146,3326,Poesía,"A861 ALE",,,0,0,
"Antología Poesía",,12013,5639,3326,Poesía,"A861 ANT",,,0,0,
"Registros de hora prima","Artola, Raúl Orlando",11712,5132,3326,Poesía,"A861 ART",,,0,0,
Despliegues,"Bao , Santiago",7483,3407,3326,CG,"A861 BAO",,,0,0,
Patagonia,"Berón, Damián Bruno",7273,3197,3326,CG,"A861 BER",,,0,0,
"Las marcas de la memoria","Brandi, Alberto",7340,3264,3326,CG,"A861 BRA",,,0,0,
Chimangos,"Calvo, Laura",12009,5631,3326,Poesía,"A861 CAL",,,0,0,
"Las horas de Polihimnia","Callado, Vicente",11719,5142,3326,Poesía,"A861 CAL",,,0,0,
"El Gozante ","Castilla, Manuel",12293,6083,3326,Poesía,"A861 CAS",,,0,0,
Mansilla,"Cros, Graciela",12008,5637,3326,Poesía,"A861 CRO",,,0,0,
Divisadero,"Escudero, Jorge Leonidas",7443,3367,3326,CG,"A861 ESC",,,0,0,
"La torre de los pájaros","Flores, María Cristina",7358,3282,3326,CG,"A861 FLO",,,0,0,
"El lugar más iluminado","Fritz, Alberto G.",7482,3406,3326,CG,"A861 FRI",,,0,0,
"País que fue será","Gelman, Juan",7474,3398,3326,CG,"A861 GEL",,,0,0,
"Valer la pena","Gelman, Juan",7198,3122,3326,CG,"A861 GEL",,,0,0,
"Noche tótem","Girondo, Oliverio",7469,3393,3326,CG,"A861 GIR",,,0,0,
"Resonancias Recuentes","Gola, Hugo",12057,5812,3326,Poesía,"A861 GOL",,,0,0,
"Confortablemente adormecido","González, Sebastian",11722,5134,3326,Poesía,"A861 GON",,,0,0,
"Obras completas","Lange , Norah",7451,3375,3326,CG,"A861 LAN",,,0,0,
"Largo día de cólera","Marechal, Leopoldo",7493,3417,3326,CG,"A861 MAR",,,0,0,
"Poesía del viento y las montañas","Mrticorena, Jorge",10219,4299,3326,,"A861 MAR",,,0,0,
Veredas,"Marteleur, María Ester",7567,3491,3326,CG,"A861 MAR",,,0,0,
"El uno y el otro","Matteozzi,César",12018,5627,3326,Poesía,"A861 MAT",,,0,0,
"Animales pequeños","Mellado,Luciana",12005,5634,3326,Poesía,"A861 MEL",,,0,0,
"El agua que tiembla","Mellado, Luciana",12006,5635,3326,Poesía,"A861 MEL",,,0,0,
"Noche polar","Merli, Verónica",7339,3263,3326,CG,"A861 MER",,,0,0,
"Poemas para sos tener paredes","Miller, Graciana",7341,3265,3326,CG,"A861 MIL",,,0,0,
Haikus,"Nacif, Georgina",11043,4907,3326,,"A861 NAC",,,0,0,
Puedo,"Naffa de Blasco",11718,5141,3326,Poesía,"A861 NAFF",,,0,0,
Peregrinajes,"Nervi, Héctor Julio",7486,3410,3326,CG,"A861 NER",,,0,0,
"Payadas de vida II","Peréz Cédron, Roberto Julián",11721,5133,3326,Poesía,"A861 PER",,,0,0,
